Anatomy OBO ID	Anatomy Name	Anatomy Synonym	
ZFA:0005917	anterior-posterior polarized neuromast	anteroposterior oriented neuromast
ZFA:0005920	anterior-posterior polarized posterior lateral line neuromast	parallel posterior lateral line neuromast
ZFA:0001432	anterior sclerotic bone	anterior sclerotic bones
ZFA:0000314	anterior semicircular canal	anterior semicircular duct
ZFA:0000314	anterior semicircular canal	anterior semicircular canals
ZFA:0000314	anterior semicircular canal	rostral vertical semicircular canal
ZFA:0005683	anteromedial  zone olfactory bulb	medial anterior zone olfactory bulb
ZFA:0005004	aortic arch	branchial aortic arches
ZFA:0005004	aortic arch	aortic arches
ZFA:0005005	aortic arch 1	mandibular aortic arch
ZFA:0005005	aortic arch 1	AA1
ZFA:0005006	aortic arch 2	AA2
ZFA:0005006	aortic arch 2	hyoid aortic arch
ZFA:0005007	aortic arch 3	AA3
ZFA:0005008	aortic arch 4	AA4
ZFA:0005009	aortic arch 5	AA5
ZFA:0005016	aortic arch 6	AA6
ZFA:0000085	apical ectodermal ridge pectoral fin bud	apical ectodermal ridge pectoral fin buds
ZFA:0000085	apical ectodermal ridge pectoral fin bud	AER pectoral fin
ZFA:0000085	apical ectodermal ridge pectoral fin bud	apical ectodermal ridge pectoral fin
ZFA:0000085	apical ectodermal ridge pectoral fin bud	apical ectodermal ridge pectoral fins
ZFA:0000085	apical ectodermal ridge pectoral fin bud	apical fold pectoral fin
ZFA:0001450	apical ectodermal ridge pelvic fin	apical ectodermal ridge pelvic fins
ZFA:0001385	apical ectodermal ridge pelvic fin bud	apical ectodermal ridge pelvic fin buds
ZFA:0005148	apical epidermal cap	apical epidermal caps
ZFA:0005652	aponeurosis	aponeuroses
ZFA:0005914	argentum	iridophore layer iris
ZFA:0005914	argentum	argenta
ZFA:0000005	artery	arterial system
ZFA:0001644	articular cartilage	articular cartilages
ZFA:0000315	asteriscus	lagenar otolith
ZFA:0000315	asteriscus	lagenolith
ZFA:0009075	astrocyte	astrocytes
ZFA:0001315	atrioventricular canal	AVC
ZFA:0001315	atrioventricular canal	AV canal
ZFA:0005070	atrioventricular node	downstream pacemaker
ZFA:0005070	atrioventricular node	AV node
ZFA:0005073	atrioventricular ring	AV ring
ZFA:0001493	atypical epithelium	atypical epithelia
ZFA:0001500	auditory capsule	otic capsule
ZFA:0005244	auditory epithelial support cell	auditory support cell
ZFA:0005418	auditory fenestra	auditory fenestrae
ZFA:0009121	auditory receptor cell	auditory receptor cells
ZFA:0009121	auditory receptor cell	auditory hair cell
ZFA:0001574	autonomic nervous system	ANS
ZFA:0009059	autonomic neuron	autonomic neurons
ZFA:0000620	autopalatine	palatine
ZFA:0000091	axial chorda mesoderm	chorda mesoderm
ZFA:0000091	axial chorda mesoderm	chordamesoderm
ZFA:0000091	axial chorda mesoderm	presumptive notochord
ZFA:0001123	axial fin skeleton	unpaired fin skeleton
ZFA:0001123	axial fin skeleton	median fin skeleton
ZFA:0000092	axis	midline
ZFA:0000006	ball	yolk ball
ZFA:0009254	band form neutrophil	rod neutrophil
ZFA:0009254	band form neutrophil	band
ZFA:0009254	band form neutrophil	band cell
ZFA:0009254	band form neutrophil	stab cell
ZFA:0009254	band form neutrophil	band form
ZFA:0000622	barbel	barble
ZFA:0005119	barbel primordium	barbel primordia
ZFA:0009132	barrier cell	barrier cells
ZFA:0009037	barrier epithelial cell	barrier epithelial cells
ZFA:0005000	basal communicating artery	BCA
ZFA:0001485	basal lamina	basal laminae
ZFA:0001425	basal plate cartilage	basal plate cartilages
ZFA:0000761	basal plate midbrain region	floorplate midbrain
ZFA:0000761	basal plate midbrain region	floor plate midbrain
ZFA:0005150	basal regeneration epithelium	basal wound epidermis
ZFA:0000170	basibranchial	basibranchials
ZFA:0005453	basicapsular fenestra	basicapsular fenestrae
ZFA:0001060	basidorsal	arcualia
ZFA:0000316	basihyal bone	basihyoid
ZFA:0000316	basihyal bone	glossohyal
ZFA:0000316	basihyal bone	basihyal
ZFA:0001510	basihyal cartilage	basihyal
ZFA:0005002	basilar artery	BA
ZFA:0000623	basipterygium	pelvic girdle
ZFA:0000623	basipterygium	pelvic bone
ZFA:0001539	basipterygium cartilage	basipterygium cartilages
ZFA:0001361	basiventral	arcualia
ZFA:0009068	basket cell	basket cells
ZFA:0005236	basophilic erythroblast	prorubricyte
ZFA:0005236	basophilic erythroblast	basophilic normoblast
ZFA:0005236	basophilic erythroblast	early erythroblast
ZFA:0005236	basophilic erythroblast	early normoblast
ZFA:0009142	B cell	B-lymphocyte
ZFA:0009142	B cell	B lymphocyte
ZFA:0009142	B cell	B-cell
ZFA:0009282	Bergmann glial cell	Bergmann glial cells
ZFA:0009212	biogenic amine secreting cell	biogenic amine secreting cells
ZFA:0009055	bipolar neuron	bipolar neurons
ZFA:0001270	blastema	regeneration blastema
ZFA:0009178	blastemal cell	blastemal cells
ZFA:0009177	blastoderm cell	blastomere
ZFA:0000093	blastomere	blastomeres
ZFA:0009044	blood cell	blood cells
ZFA:0000094	blood island	posterior ICM
ZFA:0000094	blood island	posterior blood island
